Area,Bedrooms,Bathrooms,Floors,Parking,Age,Price
3503,5,3,1,0,14,23085554
1978,3,2,1,1,7,13552260
3999,3,1,2,0,5,25257529
3056,4,4,3,2,25,20370737
1275,3,2,2,1,29,7793915
534,3,4,1,1,8,5925284
2753,2,1,1,1,24,16435204
3652,1,3,3,1,10,22642166
2455,4,2,2,1,21,15759471
2085,4,2,2,2,1,15634403
3959,4,4,3,1,8,25959421
3573,2,1,3,2,17,21733610
1521,3,4,2,0,18,10661221
3961,1,1,1,2,21,23488168
3113,5,2,1,1,17,20484042
1629,3,1,3,0,4,10579589
2000,2,2,2,2,17,13085900
1202,3,1,2,2,11,8209611
2949,3,3,2,2,3,20187176
3277,2,1,1,1,14,20617849
2079,4,3,1,1,10,14940683
661,4,1,2,2,26,4774623
701,1,1,2,2,18,4837872
2481,1,4,3,0,4,16214960
1495,4,4,3,1,5,11484463
2817,5,2,2,1,12,18926035
1315,3,4,2,0,22,9438658
3842,5,1,1,2,9,25236275
955,3,4,2,2,23,7304237
1775,4,1,3,0,24,11555654
1516,1,3,1,2,13,10250924
2843,1,1,3,2,3,18160845
3267,5,2,3,0,19,20999368
837,1,3,1,0,22,5619561
1378,4,2,3,0,11,9898688
1576,5,2,2,2,14,12334670
1291,3,2,3,0,25,8141961
2764,1,4,1,2,9,17998336
1263,2,2,1,1,10,8404104
2735,1,3,1,1,8,17552611
879,3,1,3,0,10,6479211
992,5,2,2,2,1,8938077
3612,3,3,1,2,12,23993378
1680,2,2,2,2,26,10754172
2562,4,1,1,0,21,16554792
564,1,3,2,2,25,3759396
3068,5,3,2,2,25,20973083
1867,4,1,2,2,7,13505205
1652,3,3,1,1,28,10927760
2527,5,1,3,2,20,17021743
3195,4,3,3,1,20,20972960
1995,5,3,3,2,7,15048044
3634,2,1,2,2,0,23139437
1662,2,1,1,2,5,11715359
2022,1,3,2,1,25,12151526
3140,1,3,1,2,12,20134318
891,2,1,2,0,8,6128439
2198,5,4,1,2,27,15596335
918,2,1,1,1,5,7097578
2836,1,3,1,1,14,17559463
878,2,3,2,0,22,6287725
2296,2,3,3,0,15,14493308
2778,5,1,2,0,3,18613766
3565,4,3,2,1,27,23112412
2588,1,4,1,2,25,16847242
3599,5,2,1,2,16,24299960
2682,2,4,3,0,8,17800976
700,2,1,3,0,11,5247425
2363,4,3,1,2,21,16306972
1279,1,1,3,0,18,7052066
3477,1,2,3,2,19,21111948
3604,3,1,1,2,25,22780379
3619,1,3,2,2,11,22655644
1002,4,2,3,2,21,7512804
2954,3,2,1,1,5,19132115
2251,3,3,3,2,11,15613331
1304,2,3,3,0,8,9270174
2646,2,3,1,0,19,16728119
3231,1,1,3,0,4,19602855
2395,3,4,3,0,20,15336250
3273,2,1,3,1,2,20820038
2070,4,1,2,2,1,14460496
1460,2,4,2,2,7,11000633
3160,2,3,3,0,9,19893950
1985,3,3,1,0,14,13792467
3190,3,4,3,0,8,21128896
1528,5,4,3,2,9,12160591
3789,4,1,2,1,10,23969898
1002,3,2,2,1,28,6924717
3314,1,4,2,1,8,21751540
897,4,1,3,1,13,6807618
1370,4,2,3,0,4,9810034
3342,3,3,1,2,26,21470211
892,4,3,3,0,8,7486561
706,3,1,3,1,3,5754246
1538,2,1,2,0,1,10691851
2381,5,4,2,1,18,16912748
3439,2,3,2,2,0,22706947
1984,3,1,2,1,20,12940228
1363,3,3,2,0,0,9854939
3290,2,3,1,2,11,21363789
3812,1,4,1,1,10,23872111
1063,1,2,1,1,0,7142017
1520,1,4,2,2,13,10152901
595,3,1,2,0,26,3907288
2423,4,4,2,2,10,17663647
2257,3,4,1,0,28,14841015
3032,4,3,2,1,6,21092423
3978,2,4,1,1,1,25877169
2778,5,1,2,2,14,18967614
3296,4,2,3,1,7,22339779
2178,1,4,1,2,21,13675943
3742,3,4,3,1,19,24316874
1040,2,2,1,1,24,6359488
1559,1,1,2,0,14,9379799
3072,2,1,2,2,25,19218146
1683,5,4,3,2,7,13030151
2222,3,3,2,1,28,14272341
3814,3,4,1,0,9,25041254
3657,5,2,2,0,18,23690513
2319,3,2,2,2,2,16028062
3125,4,2,1,2,19,20029152
3229,2,4,3,1,13,21366485
3104,1,4,3,2,8,19890107
2097,5,1,2,1,8,15199858
3560,4,3,1,0,20,23008675
3193,1,4,3,2,27,20089548
1295,1,1,3,0,24,7093054
1551,5,4,2,0,5,11997608
2143,4,1,1,1,7,14200530
1863,1,1,3,0,10,11218897
2481,1,3,2,1,7,15627999
1854,4,4,2,1,11,13130609
2163,3,1,2,0,9,14242129
2029,1,2,2,0,22,12276757
2538,2,2,3,1,3,16731793
3919,4,2,1,1,15,25025466
1996,1,3,2,0,19,12617583
3802,5,1,2,1,5,25142694
2737,2,3,3,1,29,16746822
3796,1,4,2,2,8,24547350
1908,2,4,2,2,22,13083789
1900,2,1,1,2,4,12988316
1806,3,2,2,2,20,12271665
3180,2,1,3,2,23,19345974
3175,3,1,1,1,5,20253753
1472,4,1,3,1,16,10441591
2268,3,3,1,2,16,15137975
1782,5,4,1,0,24,12729421
3930,1,1,2,2,23,23404353
1209,4,1,2,0,21,7975972
1979,4,1,2,1,12,13691981
1934,5,3,3,0,16,13455061
1148,3,3,2,1,13,8337336
817,1,3,2,0,1,5875573
3796,3,1,1,1,25,23112825
1757,2,2,2,1,18,11560021
1183,3,2,2,2,25,8488777
1163,4,2,2,1,27,8407017
2498,1,4,2,2,2,17309070
3945,3,1,1,2,1,25664933
2131,1,2,2,2,27,13240840
1995,1,2,1,0,1,12432521
3804,2,2,3,0,21,23547846
1636,2,1,2,1,6,11280864
2353,4,2,2,2,3,16553664
2020,5,2,2,2,16,14744653
2989,1,1,1,1,5,18234131
1063,5,4,2,2,6,9954446
1791,4,3,2,1,19,12325067
3957,1,2,3,2,5,25098049
3958,1,3,1,0,8,24941634
3684,5,4,1,1,19,24461819
2136,3,4,3,1,27,14101693
3499,2,2,1,0,29,21136566
3652,3,1,2,1,25,22849389
1198,5,4,2,0,3,9848443
2660,2,3,3,2,25,16945506
501,3,3,1,0,27,3563836
1141,2,3,1,0,4,8029761
2767,1,3,1,1,18,17373436
2089,3,4,3,2,9,14752860
1354,2,2,2,0,17,8954736
2259,2,2,3,2,14,14532232
3796,2,3,2,0,24,23331289
2932,3,2,3,1,28,18240338
3974,4,3,2,0,0,26259800
2161,3,3,1,0,4,14759166
1653,5,1,1,2,4,12808718
1576,3,4,1,0,7,11141811
2207,2,4,3,1,21,13972158
3277,1,3,3,1,21,20548825
2195,3,4,3,0,21,14549893
2233,3,2,1,0,19,13804492
1939,2,3,2,2,14,13132342
2794,1,1,1,2,16,16667321
1335,1,2,1,1,18,8559901
702,5,1,2,2,28,6081205
3755,3,1,2,0,12,23684880
622,1,4,2,1,25,4328405
900,1,4,2,2,27,6448602
1266,4,3,1,1,26,9126333
793,4,4,3,0,21,6934437
2827,1,1,1,2,20,17405588
3431,5,1,2,0,9,22426226
697,1,2,3,0,16,4809410
3529,2,1,3,1,4,22076985
2430,3,3,1,1,17,16476972
3299,5,3,1,1,16,22323174
2691,2,4,1,2,3,18250599
1108,5,4,3,2,21,9423389
3772,2,4,3,1,6,24344962
1647,3,3,3,2,24,10790434
686,3,1,2,2,4,5799638
3897,4,4,2,1,7,26293513
3011,2,2,1,0,7,19170859
3920,4,4,3,2,10,26122838
2294,2,3,1,2,8,15944858
1159,4,4,3,0,18,8472792
3311,3,1,1,0,18,20011485
3502,5,4,2,0,8,23979429
2455,4,3,3,1,22,15937198
2950,2,3,2,0,19,18572604
1869,2,2,3,1,16,12520166
2486,3,3,1,0,15,16117114
2034,2,2,3,0,6,13773673
646,1,1,2,1,25,3148928
3719,5,3,3,1,21,24323318
3411,4,4,1,0,2,23616961
2234,5,1,3,0,29,14103942
2343,3,4,2,0,20,15010290
988,4,4,1,2,18,8474952
3476,4,4,2,0,7,23735436
2459,1,1,3,1,4,15258628
2163,3,1,2,2,25,13764054
3098,2,3,3,1,25,19662679
2885,1,4,1,2,5,18673292
3419,1,2,2,2,1,21681295
1140,5,3,2,1,23,9042991
2302,5,1,3,2,24,15168817
3020,5,2,2,1,18,20078906
2469,1,1,2,0,12,14486944
2698,2,2,1,2,5,18331734
1938,4,3,3,1,5,13996590
3869,5,2,3,2,1,25798533
2134,2,3,1,1,25,13871205
762,3,1,1,0,23,4546433
2287,5,2,3,0,4,16020994
2691,4,4,1,2,10,19005347
2893,3,4,1,2,10,19642562
1123,3,1,1,1,23,6973938
1516,4,2,3,1,13,11256397
1380,5,4,1,2,12,11464949
2549,1,3,2,1,29,15723784
3444,4,2,2,1,7,22636195
1827,4,2,3,1,14,13086805
2801,4,4,1,2,11,19237808
952,3,3,2,0,2,7246075
3608,2,3,3,0,20,22341605
1683,1,3,2,1,22,10664219
3562,5,2,1,2,4,24509311
2556,5,1,3,1,5,17364594
3804,2,2,2,0,1,24222392
3670,4,2,3,1,7,24472259
2182,1,4,2,0,4,14585510
3363,5,1,2,2,21,21669955
2755,5,3,1,1,16,18774858
1654,4,4,1,2,25,12357445
903,2,2,2,1,1,7367277
2699,1,1,3,1,10,16364758
2601,2,3,3,1,3,16914769
3691,2,3,1,1,10,23715657
2196,1,2,2,1,8,13988661
1127,1,3,1,2,5,7862375
1086,5,3,2,2,23,9215582
2148,5,1,2,0,1,14650268
1943,1,4,1,1,25,11899916
1945,3,1,3,0,14,12306318
603,5,4,1,2,4,7334123
753,3,4,2,0,27,5957109
3798,1,4,1,2,11,24504593
3683,5,3,3,1,12,24396339
3057,2,1,3,0,16,18958928
1996,1,3,2,0,3,13037022
598,4,2,1,0,9,5533686
2700,3,1,3,0,0,17278807
2384,1,4,1,1,10,15848873
3461,1,3,3,2,15,22023121
2419,5,3,2,2,10,17719897
1377,5,1,2,1,8,10344718
837,5,1,1,2,1,8268900
3369,4,4,2,0,6,22877610
3734,5,4,3,1,18,25038791
1456,1,2,2,2,29,9048314
2204,5,4,3,1,17,15345310
660,2,3,3,1,28,4264740
2103,5,2,2,2,19,15052487
3348,4,2,3,2,6,22380445
897,2,2,3,1,22,5678501
1800,1,1,1,1,8,11729950
1315,1,4,1,2,11,9496494
2027,3,2,1,1,28,12321764
2419,2,1,2,2,2,15700668
1915,3,1,1,1,22,11880269
1658,2,2,3,1,21,10978346
1718,2,2,2,1,25,10442099
900,4,3,2,2,15,7370651
1139,3,2,2,0,6,8330723
3604,4,3,2,2,22,23158048
3235,2,2,3,1,25,19448498
959,1,2,3,0,4,6994391
1454,2,4,1,0,24,9574998
969,4,2,2,1,22,7491819
3946,3,2,1,2,6,25616686
1545,3,3,3,0,27,9657558
3297,4,3,2,0,29,21026618
2193,3,4,3,2,18,15032562
2585,5,2,1,2,16,17557704
2777,1,2,3,0,15,16696767
3936,1,3,2,2,29,23751950
1062,1,1,2,0,29,6045477
2985,3,1,1,1,20,19123719
2299,3,1,2,2,23,14399223
3854,2,3,3,0,20,23962450
2574,2,3,3,2,25,16857443
725,1,1,3,2,18,4310229
3848,5,1,3,0,24,24217809
1297,2,2,1,1,17,8881323
2831,2,3,3,0,18,17892619
3426,3,3,1,2,27,21328474
1459,5,1,3,0,3,11085867
2004,1,1,1,2,25,11484687
952,2,4,3,0,0,7834838
3567,5,3,3,1,26,23156225
1315,5,4,1,1,3,11040906
1158,1,2,2,1,3,8160772
1046,5,4,2,1,8,9712907
1715,5,1,2,0,7,12046435
3620,5,3,1,1,1,24368296
516,2,3,2,0,28,3402796
3743,1,4,2,2,22,23473182
1743,5,4,1,2,5,13972513
2705,5,2,2,2,22,18210854
3024,2,2,2,1,10,18828828
1569,1,1,2,1,3,10143318
3944,3,1,1,1,29,23706463
3065,2,1,1,2,13,19813846
2646,1,4,2,2,20,17296144
2268,5,4,2,2,21,16046967
1560,1,3,1,2,8,11182865
2827,1,1,2,0,1,17989806
3920,1,4,1,0,26,23662318
3044,3,3,2,1,24,19214196
801,1,1,1,1,25,4815697
680,3,2,3,2,0,6232431
1106,5,2,3,0,3,9414444
3670,3,4,1,0,11,23643060
1199,5,3,3,1,4,10031606
1492,5,2,2,0,8,11513477
1639,3,3,1,1,21,11334892
690,2,3,1,2,3,6179854
2800,4,2,2,2,15,18690875
1480,1,3,2,1,1,9969860
3475,4,2,1,2,15,23231507
2506,1,4,2,2,15,16634839
1684,1,1,1,0,20,9870922
3827,5,1,2,0,23,24365997
3894,1,4,1,0,23,23671623
627,1,2,2,0,21,3286992
2565,3,2,2,0,10,16463513
2316,4,2,3,1,0,16651761
2258,3,2,3,1,14,14607826
3113,1,4,3,0,23,18976844
1069,5,1,2,2,3,9191248
1846,3,3,1,2,29,11738410
2395,3,3,2,1,17,15530802
3233,2,1,3,1,16,19843881
1125,1,4,2,1,6,8757403
3859,5,3,3,2,17,25372775
3401,3,1,3,1,12,21515167
2186,3,4,1,2,19,14796083
3509,5,3,1,1,19,23433532
654,1,2,3,2,28,4050972
3037,2,2,3,1,9,19388246
1909,3,4,2,1,0,14541254
1284,2,2,3,2,1,9336031
3675,4,4,2,1,16,24476186
3964,1,1,3,0,21,23857684
745,4,1,1,2,28,5803211
3747,4,3,1,1,2,24962239
3610,4,4,3,2,16,24377648
2000,1,3,2,1,11,12934121
2205,1,3,2,0,23,13604867
3306,5,1,2,1,29,20563510
1037,2,3,3,1,11,7747549
2390,2,2,3,0,29,14370356
2341,5,3,1,2,19,16276257
1420,5,4,1,1,9,11325005
2955,4,2,3,1,6,20244919
1024,5,1,1,0,9,8306049
3375,3,4,2,2,17,22684762
2029,2,2,2,2,21,12919799
3450,5,4,3,0,5,23372236
535,3,2,2,0,6,4498394
1184,3,4,3,1,27,8431343
519,3,4,2,0,16,4548481
2868,3,2,3,0,29,18009930
3059,4,1,2,0,11,19331615
899,3,1,2,2,16,6196255
3201,4,4,1,0,17,21502964
1471,4,4,1,1,13,10962675
2406,3,1,1,1,10,15275376
3018,2,1,1,1,1,19442221
1666,3,3,1,0,20,11152267
1615,3,1,1,2,0,11759335
3925,3,4,3,0,10,25478425
1333,2,2,3,0,1,9645855
2323,1,1,1,1,15,14252139
3274,1,3,3,0,21,19952770
2482,4,3,1,2,2,17729372
1353,4,3,3,1,19,10256915
550,2,2,2,2,0,5457011
1074,5,1,3,2,20,8565186
3761,1,1,3,2,19,23269816
1648,4,1,3,0,7,11485651
2697,1,2,2,0,18,16585517
2861,2,2,1,0,25,17397177
3117,2,4,3,0,0,20703166
3913,5,3,3,1,29,25566522
2852,5,3,2,0,28,18191951
2215,2,1,1,1,25,13675338
1181,4,2,3,2,4,9738515
1337,1,2,2,1,29,7714069
1577,3,1,1,0,0,10780558
3550,5,1,1,1,10,23491447
2991,3,4,3,0,20,19024124
3160,4,3,3,0,8,20646934
3540,5,3,3,1,4,23722691
2811,3,3,3,1,1,19655699
3624,4,4,2,2,12,24161252
2095,1,1,2,2,17,12998985
3551,4,1,3,2,25,22876548
504,5,3,1,2,24,4990027
1626,2,3,3,2,11,11462000
1719,1,4,1,1,13,11229932
1273,3,2,1,2,4,9351655
1376,5,2,1,1,26,10113977
1491,2,3,2,2,23,9776348
3431,4,4,1,0,9,22459268
3921,2,3,1,2,19,24750514
546,5,2,2,0,1,5574562
3414,5,3,1,1,3,23471123
3370,2,2,1,2,11,21678671
3483,4,2,3,1,10,22777355
3203,2,2,1,2,3,21245270
768,5,1,1,1,10,6395903
869,5,1,1,2,8,7320724
1135,3,3,1,2,9,8710736
1629,3,2,1,0,26,9893755
2193,1,1,2,1,5,14241372
2182,5,3,1,1,14,15332580
1156,3,3,1,1,9,8851405
619,2,3,2,1,21,4575540
1330,4,3,2,1,20,9983045
2310,2,3,1,0,5,15207341
1581,4,4,1,2,0,12748358
2474,3,2,1,0,28,15253444
1869,1,3,3,1,20,12223038
1240,2,4,3,1,27,8724956
616,2,2,1,2,21,4132842
2353,2,1,2,0,23,14397405
3338,4,3,1,2,19,22178657
1650,3,4,2,2,29,11461821
3964,2,1,2,0,20,23417521
2431,2,4,2,2,3,16662556
1512,1,2,1,0,22,9239539
2164,1,2,1,0,25,12634704
1581,3,1,2,1,21,9988118
1133,3,4,3,2,13,8934044
1012,5,3,3,1,19,7814448
3349,1,3,3,2,21,21138370
1619,5,1,2,2,28,10796185
1641,4,1,1,1,19,10650262
1059,5,1,2,1,27,7462986
987,2,4,3,1,7,7505707
3808,5,3,1,0,10,25475531
1396,3,3,2,2,14,10505525
3843,4,3,2,0,18,24871182
1712,2,1,3,2,7,11071934
1203,5,3,2,2,12,9845670
1970,4,2,1,0,17,13029348
1080,4,1,3,0,21,7637919
3337,2,3,3,2,23,20756391
3408,5,4,1,1,16,23397301
2794,4,1,3,1,5,18934267
3647,4,2,2,1,24,22837827
653,1,2,2,1,14,4139869
2179,4,4,3,2,12,15985658
1496,1,4,1,1,25,9452720
3657,5,1,2,1,25,22824209
3244,5,1,1,1,17,20746299
3856,5,2,2,2,10,25805221
1743,3,4,2,0,12,12358867
1592,5,1,3,1,0,11742642
3618,4,2,3,2,17,23720246
1508,2,4,1,2,4,11832998
2641,1,2,3,1,5,16782303
2273,3,3,2,0,0,15328177
1457,5,4,2,0,6,11996151
3559,5,1,1,0,26,22210750
952,2,1,1,2,3,7583278
1727,2,3,2,1,8,11965306
3459,3,4,3,1,14,22551983
2765,1,2,3,2,5,18271776
3021,5,1,1,1,24,19653946
2979,3,3,1,1,16,19743977
2888,4,3,2,0,19,18904854
1050,4,4,2,1,17,8763759
2135,3,4,1,1,21,14510777
1812,5,1,2,2,3,13873787
3825,3,3,1,2,8,25599200
2257,5,2,1,0,13,15589228
856,2,3,3,2,2,6862731
2570,3,2,1,0,0,16818382
2285,5,2,2,0,26,14970333
3069,3,1,3,1,28,18474674
2281,3,3,3,0,10,15219951
3671,5,2,2,1,0,24580447
3349,5,4,2,0,11,22999826
3751,1,2,2,2,24,22692009
3794,3,4,1,2,8,25732141
3309,4,4,3,2,4,22476129
2989,3,3,1,0,14,18864845
2131,3,4,1,0,17,13915449
3316,5,2,1,1,8,22618668
1515,3,4,1,1,12,11624004
1848,3,3,3,1,27,12385171
1015,4,1,3,1,12,7853532
3587,5,2,1,0,23,22605745
3339,3,2,2,0,12,20968669
835,2,3,3,1,26,5191171
2282,1,3,1,0,9,14655467
2805,4,3,2,0,9,19004310
996,3,3,2,0,21,6667696
1395,2,2,1,0,6,9429980
2707,3,1,3,1,27,16775194
1351,3,4,2,1,21,9783218
2187,5,4,3,0,4,16311968
2431,5,1,3,2,19,15985649
3237,5,1,2,1,6,21909816
2927,2,1,1,1,19,18399193
2068,3,3,2,2,9,14645791
1456,1,2,2,1,9,10026164
3238,4,2,3,2,25,21075484
3998,5,2,1,2,24,25766803
2136,5,3,3,0,20,14837163
1791,3,2,2,1,23,12071091
1940,3,3,1,2,27,12786743
1691,2,2,1,0,12,11134427
1566,2,1,1,1,14,9597538
784,5,4,1,0,27,6516715
2944,3,4,1,0,27,18251455
511,1,3,2,2,5,4873835
2130,4,2,2,1,19,14324531
3873,3,4,2,0,11,25236081
3824,3,1,3,2,18,24494197
3046,2,1,1,2,10,19773803
1253,4,1,1,0,5,9261519
2582,5,3,2,0,0,17966648
3274,3,3,1,2,1,21988203
3396,5,2,3,0,22,21565939
589,3,1,1,0,14,4431066
1275,5,2,1,1,3,10187621
3152,4,2,3,2,4,21491571
3517,2,1,2,0,14,21590141
2125,4,2,2,2,10,14994289
3569,1,4,1,1,9,22316700
917,2,3,3,2,16,6845373
614,4,2,2,2,1,6769589
1116,1,1,2,2,19,6903099
3767,3,3,2,1,23,24206422
1325,3,3,1,1,9,9539219
2149,5,2,3,2,19,14819483
2016,2,4,1,2,29,13579338
3646,3,2,2,1,2,23575126
912,2,4,3,0,18,6803980
3947,3,3,1,1,27,25094810
3991,5,2,2,2,4,26637687
1228,4,1,2,0,2,9490362
3848,5,2,1,0,7,25796578
3568,1,4,2,0,4,23060798
3308,3,4,2,1,27,20839745
1175,1,2,3,1,29,6379044
3965,1,4,2,1,11,24930817
2392,2,3,1,1,13,16104409
3004,3,2,3,2,6,19971220
3467,1,4,1,0,10,21595833
2739,4,2,2,2,7,18791934
3286,1,2,3,1,4,20992844
1622,4,1,3,1,7,11931429
2071,2,2,3,2,11,13783619
1477,1,1,3,0,14,9114767
1508,5,4,1,0,18,10931725
2643,2,1,2,1,15,16944609
2187,4,1,2,1,13,14410156
3210,2,1,3,1,27,19741200
3761,1,3,2,1,6,24180945
536,3,1,1,0,7,4487873
3940,3,2,2,2,6,25161694
2048,4,1,1,0,29,12937748
2826,4,2,1,2,17,19191192
2764,3,1,2,1,23,16897440
3414,4,3,1,1,5,22516835
1372,2,4,1,2,25,9887209
2321,5,1,1,1,18,15274470
1796,5,1,1,0,3,12968474
2609,2,3,3,1,22,16688905
1095,5,1,2,1,2,8762130
2403,1,2,3,1,16,14674535
1228,2,1,1,1,21,7273858
1865,4,1,2,0,18,12157071
896,2,4,1,2,26,6442343
1198,3,4,2,1,14,9601292
3590,4,1,3,1,25,22492689
2724,3,3,2,0,5,18316052
2135,4,4,1,0,25,14442899
895,5,1,2,0,11,6894346
2992,2,4,2,1,18,19520728
3804,1,1,3,2,5,23508891
575,4,4,1,0,10,5728874
764,4,4,2,0,19,6457492
3002,3,2,3,0,28,18731567
2319,5,1,2,2,19,15352121
1217,3,1,1,1,9,8215944
3282,3,1,2,1,25,19948556
3955,5,1,2,1,15,25668053
1350,1,4,2,0,26,7963535
1890,3,2,2,1,17,12448113
643,3,2,1,0,13,4887472
1384,4,3,3,2,3,11592795
3640,5,1,3,2,26,23331578
3670,2,3,2,1,11,23366624
895,1,4,1,0,19,5987046
3596,1,3,1,0,26,21785453
3495,5,1,1,1,22,22842011
3438,4,2,1,2,20,22729905
1992,4,2,1,2,7,14748358
3722,5,1,1,2,6,24445056
1667,4,4,2,2,25,11829619
3116,1,1,3,2,8,19696265
1562,1,4,3,1,23,9651870
2656,2,2,2,1,24,15970366
1565,5,4,3,1,16,11663836
1709,3,1,1,2,9,11810634
3482,3,1,1,2,28,21084814
2945,2,1,3,1,27,17516429
3794,2,4,1,1,2,25165407
1133,4,4,1,2,20,8638185
1656,2,4,3,0,24,10824686
3734,2,2,2,1,7,23979614
1738,3,3,3,2,13,12379078
1232,4,3,3,2,25,8738682
734,2,1,3,1,6,5554881
3205,2,2,3,0,15,19537499
1250,4,4,2,2,17,10081806
3135,5,1,2,1,10,20939823
3580,4,2,1,2,5,23539626
3645,3,1,1,2,19,22796334
1453,5,2,3,2,20,10787788
3039,1,2,1,2,13,19303050
3460,4,3,2,0,20,22036204
3824,3,1,1,1,12,24037857
3801,5,4,1,1,3,25750679
2042,4,3,1,1,19,14139848
1697,2,3,3,1,19,10877285
2176,4,4,1,1,10,15719898
1691,1,2,2,0,17,9988848
2717,4,4,2,2,0,19281936
1916,5,1,2,2,11,13462381
3493,5,4,2,1,17,23615258
3342,4,2,1,2,6,22443750
3181,5,4,3,2,11,22419570
1717,2,2,2,2,0,12270376
2040,4,2,2,1,21,13593251
2576,2,1,3,1,3,16167683
3736,2,4,3,0,17,23986466
1945,3,4,2,1,14,14007063
2886,4,1,2,0,2,19333608
2019,5,2,3,1,6,14390608
1888,2,4,2,2,5,13565889
2356,3,1,2,0,14,15126912
1865,4,2,1,0,14,13088221
999,4,1,3,0,5,7898467
2180,1,4,1,1,7,14649609
1010,1,1,1,0,7,6350566
3898,2,3,3,1,21,24113709
716,1,2,1,0,0,5440742
1824,2,3,2,1,25,11843221
1655,5,3,1,0,12,12424524
2327,2,2,3,2,22,14868383
3641,1,2,2,2,23,22197156
3823,5,1,2,0,20,23851610
3986,1,2,2,1,12,24766323
2310,2,3,2,1,10,15274443
2992,3,3,1,1,3,19655532
3423,4,4,1,2,6,23152527
1705,1,2,2,2,27,10293949
2714,2,3,3,2,11,17779607
590,5,4,2,1,26,5973238
1213,1,4,1,1,12,8464330
2381,1,1,2,1,21,14158234
538,4,3,1,0,11,4901289
3697,2,1,2,0,15,22299600
672,3,3,3,0,5,5385413
1152,5,1,2,2,13,9093373
1253,2,1,3,2,18,8401297
1743,5,2,3,1,15,12078563
1581,1,1,2,0,26,8854084
2183,4,2,3,1,25,14097719
3023,4,4,3,0,3,20547605
955,3,3,1,0,4,7137386
1328,4,4,1,1,8,10603089
1394,1,3,3,1,23,8364244
1884,3,4,2,0,2,13163150
2458,2,3,3,0,21,15582932
3572,4,1,2,2,9,23794485
2934,3,3,1,1,16,19146176
2496,1,3,2,1,18,15292343
2895,5,4,3,1,9,20575170
689,5,4,3,1,29,6091476
1004,1,4,3,0,11,7174854
1714,1,2,3,2,22,10328210
2031,5,2,3,1,6,14365549
3940,3,3,2,0,17,24568441
3980,5,3,3,0,18,25526718
1323,1,1,1,0,14,7991100
1428,4,1,3,0,6,9756958
1433,2,3,2,0,11,9586325
1640,4,2,3,1,21,11541060
633,4,3,3,1,28,5196774
2605,1,1,2,2,6,16940366
1184,5,2,3,1,9,9789578
3219,3,2,2,0,24,19715410
2720,4,1,3,2,23,17420412
2352,5,3,1,0,21,16032845
1314,3,4,3,0,27,9174321
1672,4,3,2,1,29,11040803
579,3,3,1,0,19,4339330
3433,5,1,2,1,29,21214494
3784,2,2,3,0,28,22618787
702,5,1,1,2,9,6358630
3311,1,3,2,0,24,19685508
1752,3,4,1,1,22,12147923
2199,2,4,1,0,4,14625197
1750,3,4,2,1,17,11848814
